date	close
06-Sep-13	0
22-Sep-13	90
29-Sep-13	891
06-Oct-13	1321
13-Oct-13	5511
20-Oct-13	2178
27-Oct-13	291
05-Nov-13	260
12-Nov-13	217
19-Nov-13	139
26-Nov-13	161
03-Dec-13	141
10-Dec-13	149
17-Dec-13	72
24-Dec-13	71
31-Dec-13	88
07-Jan-14	134
14-Jan-14	146
21-Jan-14	192
28-Jan-14	233
04-Feb-14	217
11-Feb-14	158
18-Feb-14	157
25-Feb-14	161
04-Mar-14	139
