key,value,date
Unvested,0,06-Sep-13
Unvested,483,03-Oct-13
Unvested,896,10-Oct-13
Unvested,2245,28-Oct-13
Vested,0,06-Sep-13
Vested,49,03-Oct-13
Vested,66,10-Oct-13
Vested,628,28-Oct-13
